Nationalité,Club,Nom,Position,Poste,Note,VIT,TIR,PAS,DRI,DEF,PHY
France,Real Madrid,#1 Kylian Mbappé,BU,1,91,97,90,80,92,36,78
Espagne,Manchester City,#2 Rodri,MDC,2,91,66,80,86,84,87,85
Norvège,Manchester City,#4 Erling Haaland,BU,4,91,88,92,70,81,45,88
Angleterre,Real Madrid,#5 Jude Bellingham,MOC,5,90,80,87,83,88,78,83
Brésil,Real Madrid,#7 Vini Jr.,AG,7,90,95,84,81,91,29,69
Belgique,Manchester City,#9 Kevin De Bruyne,MC,9,90,67,87,94,87,65,78
Angleterre,FC Bayern München,#11 Harry Kane,BU,11,90,65,93,84,83,49,82
Norvège,Arsenal,#12 Martin Ødegaard,MC,12,89,70,82,89,89,67,66
Italie,Paris SG,#13 Gianluigi Donnarumma,G,13,89,90,84,73,90,52,87
Brésil,Liverpool,#15 Alisson,G,15,89,86,85,85,89,56,90
Belgique,Real Madrid,#16 Thibaut Courtois,G,16,89,85,89,76,90,46,88
Argentine,Lombardia FC,#18 Lautaro Martínez,BU,18,89,82,88,75,87,54,85
Pays-Bas,Liverpool,#20 Virgil van Dijk,DC,20,89,78,60,71,71,89,86
Allemagne,FC Barcelona,#21 Marc-André ter Stegen,G,21,89,86,85,89,91,47,86
Égypte,Liverpool,#22 Mohamed Salah,AD,22,89,89,87,82,88,45,75
Angleterre,Manchester City,#23 Phil Foden,AD,23,88,86,86,85,90,57,63
France,Atlético Madrid,#28 Antoine Griezmann,BU,28,88,80,88,87,89,59,75
Portugal,Manchester City,#29 Rúben Dias,DC,29,88,67,39,70,69,89,87
Pologne,FC Barcelona,#30 Robert Lewandowski,BU,30,88,75,88,79,86,44,84
Uruguay,Real Madrid,#32 Federico Valverde,MC,32,88,88,82,84,84,80,84
Brésil,Manchester City,#33 Ederson,G,33,88,87,82,91,87,64,86
Portugal,Manchester City,#34 Bernardo Silva,MC,34,88,75,78,86,92,71,69
Slovénie,Atlético Madrid,#38 Jan Oblak,G,38,88,85,90,78,87,46,86
Allemagne,Real Madrid,#40 Antonio Rüdiger,DC,40,88,82,55,73,70,86,86
Allemagne,Leverkusen,#42 Florian Wirtz,MOC,42,88,81,78,87,89,50,67
Suisse,Borussia Dortmund,#43 Gregor Kobel,G,43,88,87,86,73,89,44,87
France,Arsenal,#44 William Saliba,DC,44,87,82,39,70,74,87,83
Allemagne,FC Bayern München,#46 Jamal Musiala,MOC,46,87,84,81,78,90,63,64
Angleterre,Arsenal,#47 Bukayo Saka,AD,47,87,85,83,81,88,60,70
Argentine,AS Roma,#49 Paulo Dybala,MOC,49,87,80,85,84,89,41,65
France,Milano FC,#50 Theo Hernández,DG,50,87,95,76,78,84,81,89
Angleterre,Arsenal,#53 Declan Rice,MDC,53,87,73,72,82,79,84,85
Pays-Bas,FC Barcelona,#55 Frenkie de Jong,MC,55,87,82,69,86,87,77,78
France,Milano FC,#56 Mike Maignan,G,56,87,84,83,85,88,64,84
Portugal,Man Utd,#57 Bruno Fernandes,MOC,57,87,70,85,88,83,65,75
Corée du Sud,Spurs,#59 Heung Min Son,BU,59,87,87,89,81,85,42,73
Brésil,Paris SG,#60 Marquinhos,DC,60,87,79,56,75,74,89,81
Italie,Lombardia FC,#61 Alessandro Bastoni,DC,61,87,75,43,75,76,87,83
Allemagne,Manchester City,#62 İlkay Gündoğan,MC,62,87,62,83,85,87,74,73
Argentine,Aston Villa,#64 Emiliano Martínez,G,64,87,84,82,83,86,56,87
Italie,Lombardia FC,#65 Nicolò Barella,MC,65,87,81,78,83,86,80,82
Suisse,Lombardia FC,#66 Yann Sommer,G,66,87,83,84,85,89,50,86
Brésil,Arsenal,#68 Gabriel,DC,68,86,69,41,63,61,86,82
Suisse,Leverkusen,#69 Granit Xhaka,MDC,69,86,50,75,85,74,79,82
Brésil,Real Madrid,#71 Rodrygo,AD,71,86,89,81,79,88,31,64
Portugal,Milano FC,#73 Rafael Leão,AG,73,86,94,79,80,87,28,77
Espagne,Leverkusen,#75 Grimaldo,MG,75,86,74,73,88,85,76,71
Croatie,Real Madrid,#76 Luka Modrić,MC,76,86,72,76,88,87,71,64
Argentine,Liverpool,#78 Alexis Mac Allister,MC,78,86,69,82,85,84,76,76
Espagne,Real Madrid,#80 Carvajal,DD,80,86,81,58,79,81,81,79
France,Paris SG,#82 Ousmane Dembélé,AD,82,86,92,75,82,88,41,57
Angleterre,Liverpool,#85 Trent Alexander-Arnold,DD,85,86,75,72,90,80,80,74
Espagne,FC Barcelona,#86 Pedri,MC,86,86,77,69,82,88,70,74
Allemagne,Leverkusen,#88 Jonathan Tah,DC,88,86,71,38,60,62,86,84
Brésil,Juventus,#90 Bremer,DC,90,86,82,50,58,66,86,85
Allemagne,FC Bayern München,#91 Joshua Kimmich,DD,91,86,69,74,88,84,81,77
Espagne,Athletic Club,#93 Unai Simón,G,93,86,85,81,78,86,49,85
Allemagne,FC Bayern München,#96 Manuel Neuer,G,96,86,83,81,90,83,49,88
Turquie,Lombardia FC,#99 Hakan Çalhanoğlu,MDC,99,86,71,80,87,85,79,76
