NationalitÃ©;Club;championnat ;Nom;Position;Note;VIT;TIR;PAS;DRI;DEF;PHY
France;Real Madrid;La Liga;#1 Kylian MbappÃ©;1;91;97;90;80;92;36;78
Espagne;Manchester City;Premier League;#2 Rodri;2;91;66;80;86;84;87;85
NorvÃ¨ge;Manchester City;Premier League;#4 Erling Haaland;4;91;88;92;70;81;45;88
Angleterre;Real Madrid;La Liga;#5 Jude Bellingham;5;90;80;87;83;88;78;83
BrÃ©sil;Real Madrid;La Liga;#7 Vini Jr.;7;90;95;84;81;91;29;69
Belgique;Manchester City;Premier League;#9 Kevin De Bruyne;9;90;67;87;94;87;65;78
Angleterre;FC Bayern MÃ¼nchen;Bundesliga;#11 Harry Kane;11;90;65;93;84;83;49;82
NorvÃ¨ge;Arsenal;Premier League;#12 Martin Ã˜degaard;12;89;70;82;89;89;67;66
Italie;Paris SG;Ligue 1;#13 Gianluigi Donnarumma;13;89;90;84;73;90;52;87
BrÃ©sil;Liverpool;Premier League;#15 Alisson;15;89;86;85;85;89;56;90
Belgique;Real Madrid;La Liga;#16 Thibaut Courtois;16;89;85;89;76;90;46;88
Argentine;Inter milan;Serie A;#18 Lautaro MartÃ­nez;18;89;82;88;75;87;54;85
Pays-Bas;Liverpool;Premier League;#20 Virgil van Dijk;20;89;78;60;71;71;89;86
Allemagne;FC Barcelona;La Liga;#21 Marc-AndrÃ© ter Stegen;21;89;86;85;89;91;47;86
Ã‰gypte;Liverpool;Premier League;#22 Mohamed Salah;22;89;89;87;82;88;45;75
Angleterre;Manchester City;Premier League;#23 Phil Foden;23;88;86;86;85;90;57;63
France;AtlÃ©tico Madrid;La Liga;#28 Antoine Griezmann;28;88;80;88;87;89;59;75
Portugal;Manchester City;Premier League;#29 RÃºben Dias;29;88;67;39;70;69;89;87
Pologne;FC Barcelona;La Liga;#30 Robert Lewandowski;30;88;75;88;79;86;44;84
Uruguay;Real Madrid;La Liga;#32 Federico Valverde;32;88;88;82;84;84;80;84
BrÃ©sil;Manchester City;Premier League;#33 Ederson;33;88;87;82;91;87;64;86
Portugal;Manchester City;Premier League;#34 Bernardo Silva;34;88;75;78;86;92;71;69
SlovÃ©nie;AtlÃ©tico Madrid;La Liga;#38 Jan Oblak;38;88;85;90;78;87;46;86
Allemagne;Real Madrid;La Liga;#40 Antonio RÃ¼diger;40;88;82;55;73;70;86;86
Allemagne;Leverkusen;Bundesliga;#42 Florian Wirtz;42;88;81;78;87;89;50;67
Suisse;Borussia Dortmund;Bundesliga;#43 Gregor Kobel;43;88;87;86;73;89;44;87
France;Arsenal;Premier League;#44 William Saliba;44;87;82;39;70;74;87;83
Allemagne;FC Bayern MÃ¼nchen;Bundesliga;#46 Jamal Musiala;46;87;84;81;78;90;63;64
Angleterre;Arsenal;Premier League;#47 Bukayo Saka;47;87;85;83;81;88;60;70
Argentine;AS Roma;Serie A;#49 Paulo Dybala;49;87;80;85;84;89;41;65
France;AC milan;Serie A;#50 Theo HernÃ¡ndez;50;87;95;76;78;84;81;89
Angleterre;Arsenal;Premier League;#53 Declan Rice;53;87;73;72;82;79;84;85
Pays-Bas;FC Barcelona;La Liga;#55 Frenkie de Jong;55;87;82;69;86;87;77;78
France;AC milan;Serie A;#56 Mike Maignan;56;87;84;83;85;88;64;84
Portugal;Man Utd;Premier League;#57 Bruno Fernandes;57;87;70;85;88;83;65;75
CorÃ©e du Sud;Spurs;Premier League;#59 Heung Min Son;59;87;87;89;81;85;42;73
BrÃ©sil;Paris SG;Ligue 1;#60 Marquinhos;60;87;79;56;75;74;89;81
Italie;Inter milan;Serie A;#61 Alessandro Bastoni;61;87;75;43;75;76;87;83
Allemagne;Manchester City;Premier League;#62 Ä°lkay GÃ¼ndoÄŸan;62;87;62;83;85;87;74;73
Argentine;Aston Villa;Premier League;#64 Emiliano MartÃ­nez;64;87;84;82;83;86;56;87
Italie;Inter milan;Serie A;#65 NicolÃ² Barella;65;87;81;78;83;86;80;82
Suisse;Inter milan;Serie A;#66 Yann Sommer;66;87;83;84;85;89;50;86
BrÃ©sil;Arsenal;Premier League;#68 Gabriel;68;86;69;41;63;61;86;82
Suisse;Leverkusen;Bundesliga;#69 Granit Xhaka;69;86;50;75;85;74;79;82
BrÃ©sil;Real Madrid;La Liga;#71 Rodrygo;71;86;89;81;79;88;31;64
Portugal;AC milan;Serie A;#73 Rafael LeÃ£o;73;86;94;79;80;87;28;77
Espagne;Leverkusen;Bundesliga;#75 Grimaldo;75;86;74;73;88;85;76;71
Croatie;Real Madrid;La Liga;#76 Luka ModriÄ‡;76;86;72;76;88;87;71;64
Argentine;Liverpool;Premier League;#78 Alexis Mac Allister;78;86;69;82;85;84;76;76
Espagne;Real Madrid;La Liga;#80 Carvajal;80;86;81;58;79;81;81;79
France;Paris SG;Ligue 1;#82 Ousmane DembÃ©lÃ©;82;86;92;75;82;88;41;57
Angleterre;Liverpool;Premier League;#85 Trent Alexander-Arnold;85;86;75;72;90;80;80;74
Espagne;FC Barcelona;La Liga;#86 Pedri;86;86;77;69;82;88;70;74
Allemagne;Leverkusen;Bundesliga;#88 Jonathan Tah;88;86;71;38;60;62;86;84
BrÃ©sil;Juventus;Serie A;#90 Bremer;90;86;82;50;58;66;86;85
Allemagne;FC Bayern MÃ¼nchen;Bundesliga;#91 Joshua Kimmich;91;86;69;74;88;84;81;77
Espagne;Athletic Club;La Liga;#93 Unai SimÃ³n;93;86;85;81;78;86;49;85
Allemagne;FC Bayern MÃ¼nchen;Bundesliga;#96 Manuel Neuer;96;86;83;81;90;83;49;88
Turquie;Inter milan;Serie A;#99 Hakan Ã‡alhanoÄŸlu;99;86;71;80;87;85;79;76
GÃ©orgie;SSC Napoli;Serie A;#100 Khvicha Kvaratskhelia;100;85;86;79;80;86;41;71
Autriche;Real Madrid;La Liga;#101 David Alaba;101;85;79;71;83;80;85;77
Uruguay;FC Barcelona;La Liga;#101 Ronald Araujo;101;85;82;53;64;62;85;84
Allemagne;Borussia Dortmund;Bundesliga;#101 Julian Brandt;101;85;71;79;85;86;50;70
BrÃ©sil;Real Madrid;La Liga;#101 Ã‰der MilitÃ£o;101;85;85;50;69;71;85;82
BrÃ©sil;Newcastle Utd;Premier League;#101 Bruno GuimarÃ£es;101;85;68;75;83;84;79;83
SuÃ¨de;Newcastle Utd;Premier League;#101 Alexander Isak;101;85;85;84;73;86;39;74
France;FC Barcelona;La Liga;#101 Jules KoundÃ©;101;85;84;45;70;75;86;80
Portugal;Paris SG;Ligue 1;#101 Vitinha;101;85;72;77;84;87;73;68
Angleterre;Spurs;Premier League;#101 James Maddison;101;85;71;81;86;86;54;63
GÃ©orgie;Valencia CF;La Liga;#101 Giorgi Mamardashvili;101;85;86;83;72;85;48;85
Espagne;Arsenal;Premier League;#101 Mikel Merino;101;85;72;79;82;82;83;82
Belgique;RB Leipzig;Bundesliga;#101 LoÃ¯s Openda;101;85;93;84;69;81;31;79
Portugal;FC Bayern MÃ¼nchen;Bundesliga;#101 Palhinha;101;85;52;68;72;74;85;90
Angleterre;Chelsea;Premier League;#101 Cole Palmer;101;85;75;82;83;86;50;66
Ã‰cosse;Liverpool;Premier League;#101 Andrew Robertson;101;85;78;61;82;79;81;78
Allemagne;FC Bayern MÃ¼nchen;Bundesliga;#101 Leroy SanÃ©;101;85;90;83;80;86;37;70
Allemagne;Borussia Dortmund;Bundesliga;#101 Nico Schlotterbeck;101;85;77;59;70;73;85;82
Angleterre;Manchester City;Premier League;#101 John Stones;101;85;69;58;75;79;85;77
France;Real Madrid;La Liga;#101 AurÃ©lien TchouamÃ©ni;101;85;73;69;79;78;82;82
Portugal;Liverpool;Premier League;#101 Diogo Jota;101;85;82;82;75;84;57;79
Italie;Newcastle Utd;Premier League;#101 Sandro Tonali;101;85;84;74;81;81;82;82
Angleterre;Aston Villa;Premier League;#101 Ollie Watkins;101;85;85;83;73;80;50;83
Espagne;Athletic Club;La Liga;#101 Nico Williams;101;85;93;75;78;86;36;65
Italie;Inter milan;Serie A;#148 Francesco Acerbi;148;84;60;50;64;65;86;80
Suisse;Manchester City;Premier League;#148 Manuel Akanji;148;84;78;48;71;75;85;82
Pays-Bas;Manchester City;Premier League;#148 Nathan AkÃ©;148;84;76;53;72;75;84;77
Argentine;AtlÃ©tico Madrid;La Liga;#148 JuliÃ¡n Ãlvarez;148;84;85;84;80;85;57;78
Espagne;Celta Vigo;La Liga;#148 Iago Aspas;148;84;81;86;79;86;35;65
Italie;Liverpool;Premier League;#148 Federico Chiesa;148;84;93;83;76;86;52;75
France;FC Bayern MÃ¼nchen;Bundesliga;#148 Kingsley Coman;148;84;89;75;79;87;30;62
Pays-Bas;Man Utd;Premier League;#148 Matthijs de Ligt;148;84;62;61;63;67;85;83
Argentine;AtlÃ©tico Madrid;La Liga;#148 Rodrigo De Paul;148;84;76;77;83;82;76;82
BrÃ©sil;FC Barcelona;La Liga;#148 Raphinha;148;84;91;79;78;86;53;73
Colombie;Liverpool;Premier League;#148 Luis DÃ­az;148;84;90;80;75;87;39;75
Italie;Inter milan;Serie A;#148 Federico Dimarco;148;84;80;77;84;83;78;81
Ukraine;AS Roma;Serie A;#148 Artem Dovbyk;148;84;84;85;69;79;34;81
Pays-Bas;Leverkusen;Bundesliga;#148 Jeremie Frimpong;148;84;93;62;75;86;75;69
Espagne;Leverkusen;Bundesliga;#148 Aleix GarcÃ­a;148;84;67;77;85;84;76;68
Angleterre;Manchester City;Premier League;#148 Jack Grealish;148;84;76;76;82;88;53;73
GuinÃ©e;Borussia Dortmund;Bundesliga;#148 Serhou Guirassy;148;84;69;86;71;80;39;79
Maroc;Paris SG;Ligue 1;#148 Achraf Hakimi;148;84;91;76;80;80;75;78
Finlande;Leverkusen;Bundesliga;#148 LukÃ¡Å¡ HrÃ¡deckÃ½;148;84;85;80;69;87;40;82
Argentine;Man Utd;Premier League;#148 Lisandro MartÃ­nez;148;84;71;59;78;79;85;81
France;Real Madrid;La Liga;#148 Ferland Mendy;148;84;89;64;76;76;81;85
France;Chelsea;Premier League;#148 Christopher Nkunku;148;84;81;81;81;86;60;67
Espagne;FC Barcelona;La Liga;#148 Dani Olmo;148;84;73;77;82;87;50;57
Argentine;Leverkusen;Bundesliga;#148 Exequiel Palacios;148;84;69;76;79;82;82;73
France;Inter milan;Serie A;#148 Benjamin Pavard;148;84;75;67;75;75;86;81
Espagne;Real Sociedad;La Liga;#148 Ãlex Remiro;148;84;84;79;80;86;42;86
Argentine;Spurs;Premier League;#148 Cristian Romero;148;84;68;46;59;66;85;81
Autriche;Borussia Dortmund;Bundesliga;#148 Marcel Sabitzer;148;84;76;84;81;82;75;79
BrÃ©sil;Man Utd;Premier League;#148 Casemiro;148;84;38;74;77;69;82;82
Italie;Spurs;Premier League;#148 Guglielmo Vicario;148;84;84;80;79;87;52;84
Serbie;Juventus;Serie A;#148 DuÅ¡an VlahoviÄ‡;148;84;78;84;69;79;29;83
Angleterre;Manchester City;Premier League;#148 Kyle Walker;148;84;89;64;77;78;79;81
Angleterre;Arsenal;Premier League;#148 Benjamin White;148;84;73;35;77;78;83;80
Allemagne;Leverkusen;Bundesliga;#220 Robert Andrich;220;83;54;77;76;73;83;83
AlgÃ©rie;AC milan;Serie A;#220 IsmaÃ«l Bennacer;220;83;77;73;82;85;78;75
France;Real Madrid;La Liga;#220 Eduardo Camavinga;220;83;80;67;81;84;78;80
Danemark;FC Barcelona;La Liga;#220 Andreas Christensen;220;83;67;32;68;71;85;76
Pays-Bas;Inter milan;Serie A;#220 Stefan de Vrij;220;83;62;41;65;69;85;75
Pays-Bas;Liverpool;Premier League;#220 Cody Gakpo;220;83;82;83;78;83;48;75
Uruguay;AtlÃ©tico Madrid;La Liga;#220 JosÃ© MarÃ­a GimÃ©nez;220;83;71;46;58;61;85;82
Allemagne;FC Bayern MÃ¼nchen;Bundesliga;#220 Leon Goretzka;220;83;70;80;80;81;80;85
Croatie;Manchester City;Premier League;#220 JoÅ¡ko Gvardiol;220;83;79;69;74;78;83;83
Allemagne;Arsenal;Premier League;#220 Kai Havertz;220;83;77;81;80;82;49;72
France;Paris SG;Ligue 1;#220 Lucas HernÃ¡ndez;220;83;74;54;72;71;84;78
CorÃ©e du Sud;FC Bayern MÃ¼nchen;Bundesliga;#220 Kim Min Jae;220;83;76;33;57;63;85;83
France;Liverpool;Premier League;#220 Ibrahima KonatÃ©;220;83;75;34;59;68;83;84
Pays-Bas;Juventus;Serie A;#220 Teun Koopmeiners;220;83;66;78;83;78;75;78
Croatie;Manchester City;Premier League;#220 Mateo KovaÄiÄ‡;220;83;69;67;82;87;71;70
Autriche;FC Bayern MÃ¼nchen;Bundesliga;#220 Konrad Laimer;220;83;80;69;77;77;82;78
Espagne;AtlÃ©tico Madrid;La Liga;#220 Robin Le Normand;220;83;62;26;54;60;84;79
Espagne;AtlÃ©tico Madrid;La Liga;#220 Marcos Llorente;220;83;89;79;78;80;79;81
Italie;Juventus;Serie A;#220 Manuel Locatelli;220;83;64;70;80;78;79;80
Pays-Bas;Borussia Dortmund;Bundesliga;#220 Donyell Malen;220;83;89;81;74;85;35;72
BrÃ©sil;Arsenal;Premier League;#220 Gabriel Martinelli;220;83;89;78;75;85;46;72
ArmÃ©nie;Inter milan;Serie A;#220 Henrikh Mkhitaryan;220;83;78;79;82;84;72;77
Espagne;AC milan;Serie A;#220 Morata;220;83;82;81;73;80;31;79
Espagne;Villarreal CF;La Liga;#220 Gerard Moreno;220;83;77;85;77;81;46;72
Cameroun;Man Utd;Premier League;#220 AndrÃ© Onana;220;83;83;75;87;86;61;79
Hongrie;RB Leipzig;Bundesliga;#220 Willi Orban;220;83;58;36;56;56;85;78
Espagne;FC Barcelona;La Liga;#220 Gavi;220;83;76;66;78;85;68;70
Espagne;Villarreal CF;La Liga;#220 Parejo;220;83;52;80;88;78;74;69
Italie;AS Roma;Serie A;#220 Lorenzo Pellegrini;220;83;79;78;83;83;74;78
Angleterre;Everton;Premier League;#220 Jordan Pickford;220;83;83;78;88;87;53;80
Angleterre;Newcastle Utd;Premier League;#220 Nick Pope;220;83;82;82;75;85;49;82
Espagne;Spurs;Premier League;#220 Pedro Porro;220;83;82;73;80;81;78;77
Italie;Lazio;Serie A;#220 Ivan Provedel;220;83;84;79;80;85;42;84
Ã‰tats-Unis;AC milan;Serie A;#220 Christian Pulisic;220;83;88;82;78;86;37;63
Espagne;Arsenal;Premier League;#220 David Raya;220;83;82;81;86;82;57;81
Espagne;AtlÃ©tico Madrid;La Liga;#220 Koke;220;83;69;72;84;79;77;78
Argentine;West Ham;Premier League;#220 Guido RodrÃ­guez;220;83;51;58;72;70;85;80
Italie;Lazio;Serie A;#220 Alessio Romagnoli;220;83;64;40;56;69;85;79
Pays-Bas;RB Leipzig;Bundesliga;#220 Xavi Simons;220;83;81;77;80;86;61;71
BrÃ©sil;Juventus;Serie A;#220 Douglas Luiz;220;83;66;78;85;80;75;76
Burkina Faso;Leverkusen;Bundesliga;#220 Edmond Tapsoba;220;83;75;54;68;70;85;79
